Date,Adj Close,Open,High,Low
2025/1/17,"19,630.20","19,655.55","19,709.64","19,543.32"
2025/1/16,"19,338.29","19,573.87","19,579.85","19,335.68"
2025/1/15,"19,511.23","19,350.31","19,548.90","19,299.32"
2025/1/14,"19,044.39","19,207.75","19,273.14","18,926.60"
2025/1/13,"19,088.10","18,903.66","19,099.97","18,831.91"
2025/1/10,"19,161.63","19,312.26","19,315.11","19,018.75"
2025/1/8,"19,478.88","19,469.37","19,544.51","19,308.54"
2025/1/7,"19,489.68","19,938.08","19,940.21","19,421.02"
2025/1/6,"19,864.98","19,851.99","20,007.95","19,784.99"
2025/1/3,"19,621.68","19,395.51","19,638.66","19,379.57"
2025/1/2,"19,280.79","19,403.90","19,517.87","19,117.59"
2024/12/31,"19,310.79","19,551.36","19,563.72","19,283.41"
2024/12/30,"19,486.79","19,460.41","19,622.93","19,342.51"
2024/12/27,"19,722.03","19,896.77","19,904.77","19,553.40"
2024/12/26,"20,020.36","19,979.25","20,070.08","19,888.11"
2024/12/24,"20,031.13","19,818.48","20,031.13","19,813.76"
2024/12/23,"19,764.88","19,641.05","19,772.10","19,504.68"
2024/12/20,"19,572.60","19,190.04","19,758.61","19,168.38"
2024/12/19,"19,372.77","19,565.66","19,623.02","19,357.76"
2024/12/18,"19,392.69","20,114.98","20,179.77","19,336.59"
2024/12/17,"20,109.06","20,095.62","20,148.83","20,004.73"
2024/12/16,"20,173.89","20,016.12","20,204.58","19,988.12"
2024/12/13,"19,926.72","19,995.18","20,061.65","19,817.47"
2024/12/12,"19,902.84","19,947.34","20,018.24","19,897.38"
2024/12/11,"20,034.89","19,832.96","20,055.93","19,830.64"
2024/12/10,"19,687.24","19,796.39","19,887.08","19,641.34"
2024/12/9,"19,736.69","19,824.09","19,872.79","19,698.05"
2024/12/6,"19,859.77","19,743.96","19,863.14","19,734.42"
2024/12/5,"19,700.72","19,756.40","19,790.03","19,688.59"
2024/12/4,"19,735.12","19,587.48","19,741.76","19,575.39"
2024/12/3,"19,480.91","19,364.34","19,486.14","19,340.41"
2024/12/2,"19,403.95","19,255.43","19,436.92","19,255.43"
2024/11/29,"19,218.17","19,087.47","19,245.49","19,066.52"
2024/11/27,"19,060.48","19,132.99","19,133.11","18,937.20"
2024/11/26,"19,175.58","19,109.08","19,184.40","19,100.73"
2024/11/25,"19,054.84","19,140.59","19,208.68","18,969.35"
2024/11/22,"19,003.65","18,966.32","19,025.77","18,899.48"
2024/11/21,"18,972.42","19,072.78","19,110.89","18,714.06"
2024/11/20,"18,966.14","18,971.31","18,974.91","18,724.39"
2024/11/19,"18,987.47","18,699.71","18,992.08","18,689.83"
2024/11/18,"18,791.81","18,717.93","18,865.28","18,672.30"
2024/11/15,"18,680.12","18,929.92","18,936.75","18,598.87"
