Date,Adj Close,Open,High,Low
2005-12-01,2267.17,2244.85,2269.39,2244.71
2005-12-02,2273.37,2266.17,2273.61,2261.13
2005-12-05,2257.64,2269.07,2269.48,2250.84
2005-12-06,2260.76,2267.76,2278.16,2259.37
2005-12-07,2252.01,2263.29,2264.91,2244.62
2005-12-08,2246.46,2254.8,2261.61,2233.74
2005-12-09,2256.73,2247.28,2258.67,2241.03
2005-12-12,2260.95,2263.97,2266.14,2253.44
2005-12-13,2265.0,2256.6,2271.85,2254.92
2005-12-14,2262.59,2261.94,2270.44,2254.44
2005-12-15,2260.63,2266.05,2267.55,2247.32
2005-12-16,2252.48,2262.08,2263.89,2251.67
2005-12-19,2222.74,2254.64,2256.03,2221.79
2005-12-20,2222.42,2223.56,2231.02,2213.52
2005-12-21,2231.66,2227.53,2241.94,2225.19
2005-12-22,2246.49,2233.79,2247.09,2232.57
2005-12-23,2249.42,2249.41,2254.71,2245.58
2005-12-27,2226.89,2253.05,2259.68,2226.62
2005-12-28,2228.94,2230.36,2233.54,2221.41
2005-12-29,2218.16,2229.6,2232.89,2216.98
2005-12-30,2205.32,2209.03,2209.97,2200.51
2006-01-03,2243.74,2216.53,2249.68,2189.91
2006-01-04,2263.46,2246.96,2265.28,2246.07
2006-01-05,2276.87,2264.93,2277.56,2264.5
2006-01-06,2305.62,2289.21,2306.72,2281.01
2006-01-09,2318.69,2306.18,2322.63,2303.13
2006-01-10,2320.32,2306.22,2320.32,2303.93
2006-01-11,2331.36,2321.41,2332.92,2316.49
2006-01-12,2316.69,2327.17,2330.31,2313.22
2006-01-13,2317.04,2317.74,2321.7,2308.16
2006-01-17,2302.69,2302.56,2305.87,2294.05
2006-01-18,2279.64,2265.5,2285.94,2264.08
2006-01-19,2301.81,2291.69,2311.71,2289.82
2006-01-20,2247.7,2300.36,2300.73,2245.2
2006-01-23,2248.47,2255.31,2256.24,2241.02
2006-01-24,2265.25,2256.13,2269.44,2256.03
2006-01-25,2260.65,2275.3,2275.3,2253.06
2006-01-26,2283.0,2274.85,2284.07,2264.85
2006-01-27,2304.23,2293.37,2314.36,2289.47
2006-01-30,2306.78,2306.24,2313.98,2304.75
2006-01-31,2305.82,2305.82,2311.83,2292.95
2006-02-01,2310.56,2294.11,2311.57,2292.23
2006-02-02,2281.57,2306.57,2308.05,2277.3
2006-02-03,2262.58,2268.43,2274.62,2255.99
2006-02-06,2258.8,2263.12,2265.81,2249.75
2006-02-07,2244.96,2255.94,2265.54,2239.51
2006-02-08,2266.98,2260.22,2268.72,2246.98
2006-02-09,2255.87,2273.77,2284.52,2254.26
2006-02-10,2261.88,2255.77,2266.44,2235.41
2006-02-13,2239.81,2252.04,2254.31,2232.68
2006-02-14,2262.17,2243.54,2266.82,2237.47
2006-02-15,2276.43,2259.04,2277.13,2255.1
2006-02-16,2294.63,2281.88,2294.63,2278.06
2006-02-17,2282.36,2291.73,2291.76,2279.63
2006-02-21,2262.96,2283.52,2284.82,2256.75
2006-02-22,2283.17,2264.69,2287.99,2259.17
2006-02-23,2279.32,2279.59,2293.74,2271.82
2006-02-24,2287.04,2278.27,2287.86,2272.78
2006-02-27,2307.18,2291.48,2313.53,2291.24
2006-02-28,2281.39,2300.96,2305.62,2276.74
2006-03-01,2314.64,2288.15,2315.95,2285.64
2006-03-02,2311.11,2305.53,2316.93,2299.76
2006-03-03,2302.6,2299.1,2324.92,2297.09
2006-03-06,2286.03,2306.66,2309.51,2281.37
2006-03-07,2268.38,2280.08,2280.08,2259.64
2006-03-08,2267.46,2260.87,2275.13,2248.65
2006-03-09,2249.72,2272.26,2279.28,2249.56
2006-03-10,2262.04,2251.81,2266.99,2239.54
2006-03-13,2267.03,2269.44,2280.2,2263.68
2006-03-14,2295.9,2264.25,2296.92,2264.24
2006-03-15,2311.84,2301.17,2312.49,2293.06
2006-03-16,2299.56,2319.11,2323.79,2299.55
2006-03-17,2306.48,2306.17,2310.84,2294.5
2006-03-20,2314.11,2311.93,2317.13,2305.59
2006-03-21,2294.23,2312.9,2332.95,2292.55
2006-03-22,2303.35,2283.39,2305.44,2282.38
2006-03-23,2300.15,2300.17,2305.17,2287.9
2006-03-24,2312.82,2304.74,2316.15,2300.37
2006-03-27,2315.58,2312.47,2319.93,2310.02
2006-03-28,2304.46,2315.61,2327.83,2299.56
2006-03-29,2337.78,2309.94,2344.67,2308.41
2006-03-30,2340.82,2340.23,2353.14,2330.84
2006-03-31,2339.79,2345.53,2348.89,2334.54
2006-04-03,2336.74,2352.24,2357.53,2334.6
2006-04-04,2345.36,2337.95,2350.7,2332.67
2006-04-05,2359.75,2349.82,2361.91,2341.66
2006-04-06,2361.17,2358.92,2366.56,2347.64
2006-04-07,2339.02,2367.32,2375.45,2336.71
2006-04-10,2333.27,2340.39,2343.59,2326.47
2006-04-11,2310.35,2337.88,2339.79,2302.19
2006-04-12,2314.68,2309.39,2318.05,2308.33
2006-04-13,2326.11,2314.32,2333.03,2310.12
2006-04-17,2311.16,2325.56,2332.67,2299.42
2006-04-18,2356.14,2318.27,2357.46,2318.27
2006-04-19,2370.88,2358.87,2370.93,2350.04
2006-04-20,2362.55,2368.74,2375.54,2354.07
2006-04-21,2342.86,2371.65,2371.65,2333.5
2006-04-24,2333.38,2338.78,2338.78,2324.28
2006-04-25,2330.3,2338.54,2338.54,2321.64
2006-04-26,2333.63,2333.57,2342.88,2327.73
2006-04-27,2344.95,2324.63,2361.89,2315.12
2006-04-28,2322.57,2321.61,2337.28,2317.47
2006-05-01,2304.79,2329.79,2334.69,2300.25
2006-05-02,2309.84,2311.73,2313.93,2302.8
2006-05-03,2303.97,2311.2,2312.6,2295.03
2006-05-04,2323.9,2307.38,2326.82,2307.38
2006-05-05,2342.57,2335.96,2344.37,2332.68
2006-05-08,2344.99,2342.41,2352.56,2339.46
2006-05-09,2338.25,2339.71,2343.62,2334.17
2006-05-10,2320.74,2332.82,2338.25,2314.45
2006-05-11,2272.7,2319.08,2319.6,2270.51
2006-05-12,2243.78,2263.97,2264.19,2243.32
2006-05-15,2238.52,2234.01,2245.18,2220.5
2006-05-16,2229.13,2239.0,2243.74,2222.8
2006-05-17,2195.8,2214.9,2222.38,2193.87
2006-05-18,2180.32,2205.37,2212.95,2180.28
