Date,Adj Close,Open,High,Low
2025/1/17,"38,451.46","38,454.10","38,503.94","38,055.68"
2025/1/16,"38,572.60","38,732.65","38,932.54","38,426.20"
2025/1/15,"38,444.58","38,721.61","38,774.99","38,316.01"
2025/1/14,"38,474.30","39,010.96","39,054.35","38,305.91"
2025/1/10,"39,190.40","39,550.25","39,591.46","39,166.05"
2025/1/9,"39,605.09","39,888.91","39,930.07","39,385.05"
2025/1/8,"39,981.06","39,879.36","40,105.72","39,705.81"
2025/1/7,"40,083.30","39,584.36","40,288.80","39,584.36"
2025/1/6,"39,307.05","39,945.42","39,993.50","39,232.78"
2024/12/30,"39,894.54","40,325.78","40,325.78","39,864.46"
2024/12/27,"40,281.16","39,672.15","40,398.23","39,669.39"
2024/12/26,"39,568.06","39,129.31","39,592.28","39,110.92"
2024/12/25,"39,130.43","39,168.52","39,180.59","38,927.16"
2024/12/24,"39,036.85","39,210.23","39,245.75","38,995.76"
2024/12/23,"39,161.34","39,040.72","39,210.17","38,847.13"
2024/12/20,"38,701.90","38,950.28","39,039.68","38,701.90"
2024/12/19,"38,813.58","38,522.27","38,913.07","38,355.52"
2024/12/18,"39,081.71","39,176.88","39,382.69","39,081.71"
2024/12/17,"39,364.68","39,589.65","39,796.22","39,364.68"
2024/12/16,"39,457.49","39,551.22","39,632.17","39,371.42"
2024/12/13,"39,470.44","39,624.05","39,734.99","39,247.41"
2024/12/12,"39,849.14","39,849.97","40,091.55","39,827.59"
2024/12/11,"39,372.23","39,357.77","39,401.93","39,112.80"
2024/12/10,"39,367.58","39,375.49","39,465.14","39,171.69"
2024/12/9,"39,160.50","39,332.55","39,332.55","38,972.78"
2024/12/6,"39,091.17","39,371.56","39,468.47","38,940.44"
2024/12/5,"39,395.60","39,610.43","39,632.30","39,323.04"
2024/12/4,"39,276.39","39,354.00","39,417.08","39,062.03"
2024/12/3,"39,248.86","38,748.65","39,427.37","38,746.05"
2024/12/2,"38,513.02","38,216.95","38,552.41","37,958.55"
2024/11/29,"38,208.03","38,205.08","38,270.06","37,986.97"
2024/11/28,"38,349.06","37,935.94","38,478.32","37,801.62"
2024/11/27,"38,134.97","38,327.86","38,332.45","37,988.99"
2024/11/26,"38,442.00","38,596.76","38,596.76","38,020.08"
2024/11/25,"38,780.14","38,679.93","39,053.64","38,672.17"
2024/11/22,"38,283.85","38,146.98","38,420.63","38,085.13"
2024/11/21,"38,026.17","38,352.87","38,374.69","37,945.21"
2024/11/20,"38,352.34","38,475.70","38,520.45","38,180.15"
2024/11/19,"38,414.43","38,396.72","38,560.10","38,246.36"
2024/11/18,"38,220.85","38,259.59","38,548.30","38,150.39"
2024/11/15,"38,642.91","38,749.56","39,101.64","38,642.91"
2024/11/14,"38,535.70","38,911.04","39,084.44","38,535.70"
2024/11/13,"38,721.66","39,317.15","39,377.24","38,600.26"
2024/11/12,"39,376.09","39,642.78","39,866.72","39,137.89"
2024/11/11,"39,533.32","39,417.21","39,598.74","39,315.61"
2024/11/8,"39,500.37","39,783.45","39,818.41","39,377.87"
2024/11/7,"39,381.41","39,745.23","39,884.01","39,020.22"
2024/11/6,"39,480.67","38,677.95","39,664.53","38,662.17"
2024/11/5,"38,474.90","38,274.22","38,620.19","38,159.73"
2024/11/4,"38,053.67","38,504.35","38,512.83","37,946.66"
2024/11/1,"38,053.67","38,504.35","38,512.83","37,946.66"
2024/10/31,"39,081.25","39,179.72","39,249.21","38,832.21"
2024/10/30,"39,277.39","39,102.89","39,417.88","39,094.30"
2024/10/29,"38,903.68","38,524.30","38,903.68","38,416.85"
2024/10/28,"38,605.53","37,757.95","38,740.17","37,757.95"
2024/10/25,"37,913.92","37,954.78","38,028.14","37,713.00"
2024/10/24,"38,143.29","37,804.52","38,320.39","37,712.19"
2024/10/23,"38,104.86","38,397.28","38,514.33","37,987.62"
2024/10/22,"38,411.96","38,933.60","38,995.03","38,200.82"
2024/10/21,"38,954.60","38,960.20","39,119.67","38,775.59"
2024/10/18,"38,981.75","39,092.47","39,186.64","38,893.52"
2024/10/17,"38,911.19","39,263.82","39,299.74","38,911.19"
2024/10/16,"39,180.30","39,362.63","39,362.63","39,062.85"
